"","month","product_clean","count"
"1","January","baseball",833
"2","January","basketball",22930
"3","January","cheerleading",1435
"4","January","football",4828
"5","January","gymnastics",1504
"6","January","soccer",3945
"7","January","softball",414
"8","January","swimming",345
"9","January","volleyball",1079
"10","January","wrestling",4168
"11","February","baseball",1830
"12","February","basketball",19816
"13","February","cheerleading",1083
"14","February","football",4580
"15","February","gymnastics",1544
"16","February","soccer",4197
"17","February","softball",882
"18","February","swimming",286
"19","February","volleyball",1259
"20","February","wrestling",2426
"21","March","baseball",5530
"22","March","basketball",18867
"23","March","cheerleading",813
"24","March","football",5684
"25","March","gymnastics",1812
"26","March","soccer",6583
"27","March","softball",2732
"28","March","swimming",534
"29","March","volleyball",1529
"30","March","wrestling",1177
"31","April","baseball",10435
"32","April","basketball",17304
"33","April","cheerleading",586
"34","April","football",6723
"35","April","gymnastics",1604
"36","April","soccer",9034
"37","April","softball",4472
"38","April","swimming",743
"39","April","volleyball",1275
"40","April","wrestling",704
"41","May","baseball",12946
"42","May","basketball",18456
"43","May","cheerleading",580
"44","May","football",8626
"45","May","gymnastics",1659
"46","May","soccer",9822
"47","May","softball",4643
"48","May","swimming",1507
"49","May","volleyball",1237
"50","May","wrestling",444
"51","June","baseball",10366
"52","June","basketball",13719
"53","June","cheerleading",679
"54","June","football",5394
"55","June","gymnastics",1165
"56","June","soccer",5024
"57","June","softball",3378
"58","June","swimming",6151
"59","June","volleyball",757
"60","June","wrestling",369
"61","July","baseball",5793
"62","July","basketball",10048
"63","July","cheerleading",743
"64","July","football",5720
"65","July","gymnastics",1131
"66","July","soccer",3859
"67","July","softball",2166
"68","July","swimming",9095
"69","July","volleyball",782
"70","July","wrestling",291
"71","August","baseball",2514
"72","August","basketball",7955
"73","August","cheerleading",1382
"74","August","football",28616
"75","August","gymnastics",1359
"76","August","soccer",5978
"77","August","softball",1078
"78","August","swimming",4588
"79","August","volleyball",1624
"80","August","wrestling",212
"81","September","baseball",3082
"82","September","basketball",10132
"83","September","cheerleading",2309
"84","September","football",52931
"85","September","gymnastics",1665
"86","September","soccer",14016
"87","September","softball",1368
"88","September","swimming",1048
"89","September","volleyball",3251
"90","September","wrestling",335
"91","October","baseball",2495
"92","October","basketball",11788
"93","October","cheerleading",2419
"94","October","football",47631
"95","October","gymnastics",1653
"96","October","soccer",13109
"97","October","softball",1059
"98","October","swimming",418
"99","October","volleyball",2714
"100","October","wrestling",602
"101","November","baseball",1062
"102","November","basketball",15889
"103","November","cheerleading",1634
"104","November","football",17418
"105","November","gymnastics",1469
"106","November","soccer",6225
"107","November","softball",382
"108","November","swimming",339
"109","November","volleyball",1099
"110","November","wrestling",2087
"111","December","baseball",583
"112","December","basketball",17921
"113","December","cheerleading",1219
"114","December","football",5270
"115","December","gymnastics",1225
"116","December","soccer",3486
"117","December","softball",183
"118","December","swimming",335
"119","December","volleyball",878
"120","December","wrestling",3754
